_id,service_name,sequence,name_mm,road_mm,the_geom
699,10,74,(၄၄) လမ်းဆုံ,ဗိုလ်မှူးဗထူးလမ်း,0101000020E61000002AA8A8FA950B584049F59D5F94E43040
700,10,75,ကျန်းမာရေး,ဗိုလ်မှူးဗထူးလမ်း,0101000020E6100000C82764E76D0B5840DD3F16A243E43040
701,10,76,ကျောင်းကွေ့,ဗိုလ်မှူးဗထူးလမ်း,0101000020E61000004015376E310B5840B40584D6C3E33040
702,10,77,ဖြိုးစံပယ်,ဗိုလ်မှူးဗထူးလမ်း,0101000020E61000009816F549EE0A58402C2B4D4A41E33040
703,10,79,ခေမာ,ဗိုလ်မှူးဗထူးလမ်း,0101000020E610000018946934B90A584071E5EC9DD1E23040
704,10,80,ဂန္ဓာရုံ,ဗိုလ်မှူးဗထူးလမ်း,0101000020E6100000992B836A830A584027C0B0FCF9E23040
705,10,81,ဂိတ်ဟောင်း,စက်မှုဇုန်လမ်း,0101000020E6100000DC4944F8170A5840EF3A1BF2CFE43040
706,10,82,မြောက်ဥက္ကလာအဝိုင်း,သုဓမ္မာလမ်း,0101000020E610000032E6AE25E409584049F59D5F94E43040
707,10,83,ကျောက်ရေတွင်း,သုဓမ္မာလမ်း,0101000020E6100000D542C9E4D4095840363B527DE7E33040
708,10,84,ဘုန်းကြီးလမ်း,သုဓမ္မာလမ်း,0101000020E6100000392861A6ED095840F33B4D66BCE13040
709,10,85,(၂) ဈေး,သုဓမ္မာလမ်း,0101000020E6100000981936CAFA095840A1A3552DE9E03040
710,10,86,(၅) လမ်း,သုဓမ္မာလမ်း,0101000020E610000050560C57070A5840EBFF1CE6CBDF3040
711,10,87,လမ်းဝ/နဝဒေး,သုဓမ္မာလမ်း,0101000020E61000002786E464E2095840C956975302DE3040
712,10,88,စာတိုက်,ကမ္ဘာအေးဘုရားလမ်း,0101000020E610000014D044D8F009584003B16CE690DC3040
713,10,89,ကမ္ဘာအေးဘုရားလမ်း,ကမ္ဘာအေးဘုရားလမ်း,0101000020E61000006D382C0DFC095840DD7BB8E4B8DB3040
714,10,90,ချော်တွင်းကုန်း,ပါရမီလမ်း,0101000020E6100000C58CF0F6200A5840501DAB949ED93040
715,10,91,မဉ္ဇူလမ်း,ပါရမီလမ်း,0101000020E610000006F357C85C0A584015C78157CBD93040
716,10,92,ညောင်ပင်,ပါရမီလမ်း,0101000020E610000037FE4465C30A58407E3672DD94DA3040
717,10,93,ကေတုမာလာကွေ့,ပါရမီလမ်း,0101000020E6100000A0A9D72D020B5840B85CFDD824DB3040
718,10,94,တကောင်း,သုမင်္ဂလာလမ်း,0101000020E6100000F06AB933130B5840C6F8307BD9DA3040
719,10,95,နန္ဒဝန်ဈေး,သုမင်္ဂလာလမ်း,0101000020E61000006891ED7C3F0B58400B630B410EDA3040
